"Type","Name","Id","Path"
"UMLCollaboration","modelo_auto","AAAAAAGdjpJ2KM4f3qs=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar modelo auto","AAAAAAGdjpJ2KM4gDO8=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto"
"UMLSequenceDiagram","agregar modelo auto","AAAAAAGdjpJ2KM4hoSA=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto/agregar modelo auto"
"UMLInteraction","editar modelo auto","AAAAAAGdjpz/mN99bHs=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto"
"UMLSequenceDiagram","editar modelo auto","AAAAAAGdjpz/mN9+NL4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto/editar modelo auto"
"UMLInteraction","eliminar modelo auto","AAAAAAGdjp0g6OeGUFM=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto"
"UMLSequenceDiagram","eliminar modelo auto","AAAAAAGdjp0g6OeHTyY=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/modelo_auto/eliminar modelo auto"
"UMLCollaboration","proveedores","AAAAAAGdjruSu/MU9Ho=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar proveedor","AAAAAAGdjtKvCQ3ywrs=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores"
"UMLSequenceDiagram","agregar proveedor","AAAAAAGdjtKvCQ3zBh8=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores/agregar proveedor"
"UMLInteraction","editar proveedor","AAAAAAGdjruSu/MV3ww=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores"
"UMLSequenceDiagram","editar proveedor","AAAAAAGdjruSu/MWVAw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores/editar proveedor"
"UMLInteraction","eliminar proveedor","AAAAAAGdjtLr2hX/EgE=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores"
"UMLSequenceDiagram","eliminar proveedor","AAAAAAGdjtLr2hYA9CI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/proveedores/eliminar proveedor"
"UMLCollaboration","categorias","AAAAAAGdk0xpreTj/Eo=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar categoria","AAAAAAGdk0xpreTkNtc=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias"
"UMLSequenceDiagram","agregar categoria","AAAAAAGdk0xpreTlx5E=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias/agregar categoria"
"UMLInteraction","editar categoria","AAAAAAGdk1MKXu2zONA=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias"
"UMLSequenceDiagram","editar categoria","AAAAAAGdk1MKXu20D14=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias/editar categoria"
"UMLInteraction","eliminar categoria","AAAAAAGdk1xssgegmi4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias"
"UMLSequenceDiagram","eliminar categoria","AAAAAAGdk1xssgehijo=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/categorias/eliminar categoria"
"UMLCollaboration","departamentos","AAAAAAGdk2U/0RMlpBU=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar departamento","AAAAAAGdk2U/0RMmuAw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos"
"UMLSequenceDiagram","agregar departamento","AAAAAAGdk2U/0RMnxTk=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos/agregar departamento"
"UMLInteraction","editar departamento","AAAAAAGdk2U/0hOlIZI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos"
"UMLSequenceDiagram","editar departamento","AAAAAAGdk2U/0hOmcLg=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos/editar departamento"
"UMLInteraction","eliminar departamento","AAAAAAGdk2U/0xRCPoc=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos"
"UMLSequenceDiagram","eliminar departamento","AAAAAAGdk2U/0xRD5fs=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/departamentos/eliminar departamento"
"UMLCollaboration","ciudades","AAAAAAGdk3b1Zza1JSY=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar ciudad","AAAAAAGdk3b1Zza2GEw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades"
"UMLSequenceDiagram","agregar ciudad","AAAAAAGdk3b1Zza3Pb4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades/agregar ciudad"
"UMLInteraction","editar ciudad","AAAAAAGdk3b1aDc1Z4o=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades"
"UMLSequenceDiagram","editar ciudad","AAAAAAGdk3b1aDc2jN4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades/editar ciudad"
"UMLInteraction","eliminar ciudad","AAAAAAGdk3b1aTfSpq0=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades"
"UMLSequenceDiagram","eliminar ciudad","AAAAAAGdk3b1aTfTEBI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/ciudades/eliminar ciudad"
"UMLCollaboration","vehiculos","AAAAAAGd2lEyvoPuwJo=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","Agregar Vehiculo","AAAAAAGd2lEyvoPvPRE=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos"
"UMLSequenceDiagram","Agregar Vehiculo","AAAAAAGd2lEyvoPwDD0=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos/Agregar Vehiculo"
"UMLInteraction","Editar Vehiculo","AAAAAAGd2neuuI+JCJU=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos"
"UMLSequenceDiagram","Editar Vehiculo","AAAAAAGd2neuuI+KXaI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos/Editar Vehiculo"
"UMLInteraction","Eliminar Vehiculo","AAAAAAGd2nfQ66qblcw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos"
"UMLSequenceDiagram","Eliminar Vehiculo","AAAAAAGd2nfQ66qcQTU=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/vehiculos/Eliminar Vehiculo"
"UMLPackage","Diagrama de Clases","AAAAAAGAzwf4mJKzxxE=","/taller_analisis/Diagramas"
"UMLPackage","Gestion de Compras","AAAAAAGAzwgrcJK3lFo=","/taller_analisis/Diagramas/Diagrama de Clases"
"UMLClassDiagram","registrar_pedido","AAAAAAGAzwh61pK76qc=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","registrar_presupuesto","AAAAAAGAzzEQj6lyiJk=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","generar_orden_compra","AAAAAAGA04q4GW+v0O0=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","registrar_compra","AAAAAAGA7Effr3pAYyw=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","registrar_nota_remision","AAAAAAGA7SHPbM3cgqY=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","registar_notaCreditoDebito","AAAAAAGA7Sip3dLJfKQ=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","regitrar_ajuste_inventario","AAAAAAGA8Zt3r67F7hY=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLPackage","vista.compras","AAAAAAGA8+XSd11PXbw=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLClassDiagram","generar_transferencia","AAAAAAGdHXP4Kar06QY=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Compras"
"UMLPackage","Gestion de Servicios","AAAAAAGA/L1FNaL4WQc=","/taller_analisis/Diagramas/Diagrama de Clases"
"UMLClassDiagram","recepcion_servicio","AAAAAAGA/L3oG6M7uwc=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLPackage","vista.servicios","AAAAAAGA/PEsaF+kGgo=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","Registrar promociones","AAAAAAGA/aetilyqiSM=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","registrar_descuentos","AAAAAAGdIooBp8DTgIQ=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","generar_diagnostico","AAAAAAGdHYD95wkIXnQ=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","Registrar Presupuesto","AAAAAAGA/cQ3UWyYwFk=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","Registrar Contrato de Servicio","AAAAAAGBAX0l/2TOr3A=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","generar orden de trabajo","AAAAAAGBAdrBUJUxnmQ=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","registrar_servicio_insumos_utilizados","AAAAAAGBAwzl2hMkQ6k=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLClassDiagram","registrar reclamos","AAAAAAGBA1wOt597bhY=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Servicios"
"UMLPackage","Gestion de Facturacion","AAAAAAGBEZG/vgGKGeY=","/taller_analisis/Diagramas/Diagrama de Clases"
"UMLClassDiagram","Apertura Cierre de Cajas","AAAAAAGBEZI5GgGi33c=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLPackage","vista.facturacion","AAAAAAGBEakXzQlZirU=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLClassDiagram","Generar Arqueo de Caja","AAAAAAGBEcfnvtnda1k=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLClassDiagram","Gestionar Ventas","AAAAAAGBEfNJPSg6M84=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLClassDiagram","Gestionar cobranzas por forma de Cobro","AAAAAAGBFmRjc4uXFx8=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLClassDiagram","Gestionar notas de crÃ©dito y dÃ©bito","AAAAAAGBHEUKgKr39Ng=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLClassDiagram","Registrar Nota de RemisiÃ³n","AAAAAAGBHHS+HFBwYT0=","/taller_analisis/Diagramas/Diagrama de Clases/Gestion de Facturacion"
"UMLPackage","conexion","AAAAAAGA8+XmJF3nbhY=","/taller_analisis/Diagramas/Diagrama de Clases"
"UMLPackage","Mantener Referenciales","AAAAAAGA/PKk+GuY3qo=","/taller_analisis/Diagramas/Diagrama de Clases"
"UMLClassDiagram","Cargos","AAAAAAGdFwI5iJ+gEyw=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","articulos","AAAAAAGdHPYaQuvHm3Q=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","empleados","AAAAAAGdHQSImBFRqzw=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","usuarios","AAAAAAGdHQddLRvyo88=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","clientes","AAAAAAGdHQtr6ibbHuQ=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","modelo_auto","AAAAAAGdHRCzxU0H3VM=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","vehiculos","AAAAAAGdHRH5R1WOfRo=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","equipo_trabajo","AAAAAAGdHRS9NGHJ72A=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","asignar_empleados","AAAAAAGdHRYI/Gk1xUA=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","cajas","AAAAAAGdHRmrcXSvXtQ=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","timbrado","AAAAAAGdHSAxd34Bayg=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","medios_pago","AAAAAAGdHSo0toTBFQI=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","sucursales","AAAAAAGdg2dMtzCvyCY=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","proveedores","AAAAAAGdjr0+Lfm+PMc=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","categorias","AAAAAAGdk0W+MtxMOow=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","departamentos","AAAAAAGdk2XgHytojyE=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLClassDiagram","ciudades","AAAAAAGdk3hqPU7/btc=","/taller_analisis/Diagramas/Diagrama de Clases/Mantener Referenciales"
"UMLPackage","Diagrama de Despliegue","AAAAAAGA1D38EfZOUj4=","/taller_analisis/Diagramas"
"UMLDeploymentDiagram","Despliegue","AAAAAAGA1EXvoPhjQVw=","/taller_analisis/Diagramas/Diagrama de Despliegue"
